id,Cat,Dog
1,0.9999990302949804,9.697050196906113e-07
2,4.999267765334551e-18,1.0
3,0.9999999999999958,4.283331029248906e-15
4,3.092442534963625e-10,0.9999999996907558
5,0.9999998416218097,1.5837819036100824e-07
6,3.601008285120408e-11,0.9999999999639899
7,1.2446573143546303e-12,0.9999999999987554
8,1.6931650893416197e-08,0.9999999830683491
9,0.9999881311553815,1.1868844618397663e-05
10,0.9824195387047683,0.017580461295231754
11,0.6976295251242768,0.30237047487572327
12,0.9999999931495476,6.850452312452476e-09
13,0.0002131455905470651,0.999786854409453
14,1.252606910853424e-14,0.9999999999999876
15,0.9999999020863903,9.79136096416784e-08
16,7.52740644069584e-10,0.9999999992472595
17,6.303662621559441e-07,0.9999993696337378
18,0.9999999993588697,6.41130234181116e-10
19,5.238679614922706e-07,0.9999994761320385
20,3.1642592413017282e-12,0.9999999999968356
21,0.9999982192834996,1.7807165002613424e-06
22,2.4333515570562173e-08,0.9999999756664845
23,0.9895446451063112,0.01045535489368864
24,5.441348652621603e-15,0.9999999999999944
25,0.981059900384175,0.018940099615825046
26,1.1573401430987601e-14,0.9999999999999885
27,0.9996672246135643,0.0003327753864357766
28,0.9998490409965344,0.0001509590034654949
29,6.8106239006797144e-15,0.9999999999999931
30,0.00016713838524160492,0.9998328616147584
31,2.821483971933778e-13,0.9999999999997178
32,7.930125526857797e-05,0.9999206987447313
33,0.9989248244923353,0.001075175507664675
34,0.04926173858071538,0.9507382614192846
35,0.9999999915569558,8.443044138833864e-09
36,0.9977231574092028,0.002276842590797193
37,0.9999999999842744,1.5725730100306723e-11
38,3.588380527445329e-12,0.9999999999964115
39,9.412825593129278e-11,0.9999999999058717
40,0.9999989945634032,1.005436596657173e-06
41,6.331479933097105e-08,0.9999999366852006
42,0.9412639170565336,0.05873608294346648
43,6.396641933472024e-09,0.9999999936033581
44,0.9999999998938169,1.0618315892504428e-10
45,6.064668766371787e-09,0.9999999939353312
46,0.008512079686430299,0.9914879203135697
47,0.9999999912994143,8.700585654156355e-09
48,0.9999999999603038,3.969633124779223e-11
49,0.9999999999931377,6.862322818797371e-12
50,0.9999999994356767,5.643232195054947e-10
51,0.9999999006757535,9.932424648195297e-08
52,0.6937144751165983,0.3062855248834016
53,9.123235571775043e-14,0.9999999999999087
54,0.9995222477046034,0.00047775229539648306
55,0.9999997953153049,2.046846949819689e-07
56,0.5991190806623384,0.40088091933766157
57,0.999621544511842,0.00037845548815795604
58,6.417878139793802e-07,0.999999358212186
59,8.557829931196091e-07,0.999999144217007
60,0.013065397444728179,0.9869346025552718
61,1.3786692374818877e-05,0.9999862133076252
62,0.00012385986963002636,0.9998761401303701
63,2.7312370445426366e-12,0.9999999999972689
64,0.9999999999999996,4.3423335488767197e-16
65,0.9999999999999591,4.08005048542966e-14
66,0.9999999999989571,1.042928698546088e-12
67,0.9995239282522088,0.0004760717477912982
68,0.08163130758271629,0.9183686924172838
69,1.7324133753856722e-08,0.9999999826758662
70,4.576136170193899e-13,0.9999999999995424
71,5.523983198709828e-18,1.0
72,0.9999947499492806,5.25005071944833e-06
73,0.9999999999947904,5.20969779010677e-12
74,0.023116208534561755,0.9768837914654381
75,0.0032010589475418346,0.9967989410524583
76,9.980365952997548e-10,0.9999999990019635
77,6.184952519630161e-12,0.999999999993815
78,0.9999995623916514,4.37608348469582e-07
79,8.544508457442768e-06,0.9999914554915427
80,0.9999999969507141,3.0492859568984893e-09
81,0.9997912240371832,0.000208775962816636
82,8.675951015921568e-13,0.9999999999991325
83,1.5408866162593078e-09,0.9999999984591135
84,1.6481381135393628e-05,0.9999835186188645
85,0.9999712566699656,2.874333003452289e-05
86,0.0011026851946400133,0.99889731480536
87,3.1007524843686394e-12,0.9999999999968991
88,0.9999893734428197,1.0626557180347251e-05
89,1.0739634515730034e-07,0.9999998926036548
90,0.9922802480652624,0.007719751934737668
91,0.9999999999001274,9.98726382998478e-11
92,0.71097171036871,0.28902828963129007
93,1.4723728136173428e-07,0.9999998527627186
94,2.5747267966406227e-19,1.0
95,0.2418167835794367,0.7581832164205633
96,0.9999999972085318,2.7914680643198318e-09
97,0.002470709167261548,0.9975292908327384
98,4.654771914540882e-12,0.9999999999953453
99,0.00013218603465356548,0.9998678139653465
100,0.23522225319897044,0.7647777468010295
101,0.9999705547384276,2.944526157242886e-05
102,1.0,1.711295860907678e-18
103,0.9999999523462937,4.765370623807712e-08
104,0.9999995781749237,4.218250764181901e-07
105,0.9999999877459474,1.225405240407056e-08
106,5.97896959874137e-09,0.9999999940210305
107,1.3291496113992142e-11,0.9999999999867084
108,0.99995087214728,4.9127852720039984e-05
109,0.976491973349517,0.023508026650482926
110,2.003936245556836e-09,0.9999999979960636
111,1.6783703694715247e-07,0.9999998321629631
112,0.9999999999993026,6.973822725331947e-13
113,0.40994905728020264,0.5900509427197973
114,0.0006160365886361228,0.9993839634113639
115,0.9999999942478983,5.752101738819362e-09
116,1.3603080121143493e-14,0.9999999999999865
117,0.9923009273937665,0.007699072606233399
118,2.3091029353947442e-06,0.9999976908970647
119,2.08501910969168e-12,0.999999999997915
120,0.9999999762261343,2.3773865669742203e-08
121,1.089535093850072e-14,0.9999999999999891
122,2.361103157008122e-15,0.9999999999999976
