id,Cat,Dog
1,0.9979784085620655,0.0020215914379343907
2,0.0008833683710589027,0.999116631628941
3,0.9994035022287104,0.0005964977712896049
4,0.0005241216567557169,0.9994758783432441
5,0.999206974731902,0.0007930252680980529
6,0.0007397488090033204,0.9992602511909968
7,0.000608307077296425,0.9993916929227035
8,0.0008340385482280447,0.999165961451772
9,0.9937663487376434,0.006233651262356706
10,0.9501527811070085,0.04984721889299157
11,0.9710296806395691,0.028970319360431002
12,0.9995461373843251,0.00045386261567488003
13,0.02991250855151907,0.9700874914484809
14,0.001026579727486907,0.9989734202725132
15,0.9987374073020617,0.0012625926979383552
16,0.0003807182222004671,0.9996192817777996
17,0.0010745265755390347,0.9989254734244609
18,0.9989458983924157,0.0010541016075844834
19,0.0004977862162692663,0.9995022137837308
20,0.0006651447171464473,0.9993348552828535
21,0.9994685777201168,0.0005314222798831489
22,0.000883935228256555,0.9991160647717433
23,0.999042632863611,0.0009573671363890332
24,0.00021465244203348644,0.9997853475579664
25,0.4799541024614406,0.5200458975385595
26,0.00012781632808518489,0.9998721836719148
27,0.9981280739719061,0.0018719260280939379
28,0.9977004198503897,0.002299580149610191
29,0.00039132030690632784,0.9996086796930937
30,0.016035973901144907,0.983964026098855
31,0.0007454554695296703,0.9992545445304702
32,0.0003870277778385791,0.9996129722221615
33,0.23568306204445863,0.7643169379555413
34,0.0012043529390297918,0.9987956470609702
35,0.9988867156973099,0.0011132843026899388
36,0.9980935087304584,0.0019064912695415997
37,0.9986688207245582,0.0013311792754417205
38,0.0002093497516937507,0.9997906502483062
39,0.0005194037482611386,0.9994805962517389
40,0.9981706635443909,0.0018293364556091873
41,0.0004164188519844051,0.9995835811480156
42,0.9996065331042937,0.0003934668957061606
43,0.00028498972031791163,0.999715010279682
44,0.9993362756242465,0.0006637243757535639
45,0.0005490997415306089,0.9994509002584695
46,0.00491357071759447,0.9950864292824056
47,0.9984175829937884,0.001582417006211723
48,0.9995508269442376,0.00044917305576241273
49,0.9994944240566843,0.0005055759433155831
50,0.9990754138086352,0.0009245861913649201
51,0.9991421506317394,0.000857849368260555
52,0.9968144630158569,0.0031855369841432045
53,7.423538472492151e-05,0.9999257646152752
54,0.9979908242023177,0.0020091757976822442
55,0.9986992866305032,0.0013007133694967717
56,0.3355930600485203,0.6644069399514797
57,0.9948852845270404,0.005114715472959618
58,0.00030660526624039876,0.9996933947337596
59,0.0006909245878657256,0.9993090754121342
60,0.7662009012796716,0.23379909872032842
61,0.0006030263458665146,0.9993969736541335
62,0.0008250377484781972,0.9991749622515217
63,0.0003736381475000482,0.9996263618525
64,0.9996468403732127,0.00035315962678732004
65,0.9984059185541044,0.0015940814458956355
66,0.9995967649183785,0.00040323508162155863
67,0.9990340814536911,0.0009659185463089116
68,0.995786660326707,0.004213339673293055
69,0.04003173867980072,0.9599682613201992
70,0.0004991721085679899,0.9995008278914319
71,0.0003300399836450175,0.999669960016355
72,0.9965601574291723,0.00343984257082775
73,0.9988812861297136,0.0011187138702864101
74,0.0004676855567830581,0.9995323144432169
75,0.004482648424959803,0.9955173515750401
76,0.0008338953090403355,0.9991661046909596
77,0.0005230532720106306,0.9994769467279894
78,0.9985337699024769,0.0014662300975231315
79,0.9605797261832557,0.03942027381674429
80,0.998552548509025,0.0014474514909750226
81,0.9995980957210545,0.0004019042789455425
82,0.002730069606257639,0.9972699303937423
83,0.00022574515059871255,0.9997742548494012
84,0.011357799449603977,0.988642200550396
85,0.9969528538545568,0.0030471461454430583
86,0.0012392000439501514,0.9987607999560499
87,0.0004889276310987608,0.9995110723689011
